Original text,Corrected text,Waze location,Coordinates,Note
מחסני השוק דימונה ממשית,מחסני השוק – דימונה ממשית,"https://waze.com/ul?ll=31.059192,35.037017&navigate=yes","31.059192, 35.037017","מרכז קניות ממשית, דימונה — your address"
קשת טעמים ב״ש,קשת טעמים – באר שבע,"https://waze.com/ul?ll=31.222930,34.802850&navigate=yes","31.222930, 34.802850","קשת טעמים, ב""ש"
מחסני השוק אופקים,"מחסני השוק – אופקים, מבנה","https://waze.com/ul?ll=31.315153,34.624786&navigate=yes","31.315153, 34.624786","מחסני השוק אופקים, שד' יהדות דרום אפריקה — option A"
מחסני השוק קרית מלאכי,מחסני השוק – קריית מלאכי,"https://waze.com/ul?ll=31.731658,34.753038&navigate=yes","31.731658, 34.753038","מחסני השוק, קריית מלאכי"
רמי לוי קריית גת,רמי לוי – קריית גת,"https://waze.com/ul?ll=31.603820,34.772470&navigate=yes","31.603820, 34.772470","רמי לוי קריית גת, דרך הדרום — option A"
טיב טעם ב״ש,טיב טעם – באר שבע,"https://waze.com/ul?ll=31.247910,34.812220&navigate=yes","31.247910, 34.812220","טיב טעם, ב""ש"
רמי לוי אשדוד,רמי לוי – אשדוד,"https://waze.com/ul?ll=31.814770,34.660040&navigate=yes","31.814770, 34.660040","רמי לוי שיווק השקמה, היהלומים אשדוד — option B"
שפע ברכה גדרה,שפע ברכה – גדרה,"https://waze.com/ul?ll=31.818301,34.775800&navigate=yes","31.818301, 34.775800","שפע ברכה, ויצמן 7 גדרה — your address"
מחסני השוק שכונה ט,מחסני השוק – שכונה ט׳,"https://waze.com/ul?ll=31.245847,34.780029&navigate=yes","31.245847, 34.780029","מחסני השוק, שדרות ירושלים ב""ש (store at #10, ~90m from #4) — your address"
קרפור נתיבות,קרפור – נתיבות,"https://waze.com/ul?ll=31.417980,34.592430&navigate=yes","31.417980, 34.592430",קרפור היפר נתיבות
קרפור ערד,קרפור – ערד,"https://waze.com/ul?ll=31.248230,35.201160&navigate=yes","31.248230, 35.201160","קרפור, ערד"
ח.נ משקאות הסיטונאי,ח.נ משקאות הסיטונאי,"https://waze.com/ul?ll=31.255990,34.816697&navigate=yes","31.255990, 34.816697","ח.נ. משקאות, ב""ש — you confirmed"
מחסני השוק קריית גת,מחסני השוק – קריית גת,"https://waze.com/ul?ll=31.601807,34.772956&navigate=yes","31.601807, 34.772956","מחסני השוק, קריית גת"
מחסני השוק יד בנימין,מחסני השוק – יד בנימין,"https://waze.com/ul?ll=31.792720,34.824080&navigate=yes","31.792720, 34.824080",מחסני השוק יד בנימין
פרש מרקט מחסני להב רחוב גיא אוני אשדוד,מחסני להב / פרשמרקט – גיא אוני,"https://waze.com/ul?ll=31.785248,34.659107&navigate=yes","31.785248, 34.659107","מחסני מזון, גיא אוני אשדוד — your link"
רמי לוי ביג ב״ש,רמי לוי – BIG באר שבע,"https://waze.com/ul?ll=31.242737,34.813938&navigate=yes","31.242737, 34.813938","רמי לוי שיווק השקמה (המשק, ליד BIG ב""ש) — best match, verify"
טיב טעם אשדוד,טיב טעם – אשדוד,"https://waze.com/ul?ll=31.810210,34.656140&navigate=yes","31.810210, 34.656140",טיב טעם אשדוד
הסל שלנו גדרה,הסל שלנו – גדרה,"https://waze.com/ul?ll=31.800510,34.783400&navigate=yes","31.800510, 34.783400","הסל שלנו, גדרה"
מחסני השוק עובדה,מחסני השוק – עובדה,"https://waze.com/ul?ll=31.259650,34.780120&navigate=yes","31.259650, 34.780120","מחסני השוק מבצע עובדה, ב""ש"
יוחננוף נתיבות רחוב אליהו אילוז,"יוחננוף – נתיבות, אליהו אילוז","https://waze.com/ul?ll=31.412450,34.572680&navigate=yes","31.412450, 34.572680","יוחננוף נתיבות, אליהו אילוז"
מחסני השוק ערד,מחסני השוק – ערד,"https://waze.com/ul?ll=31.248640,35.199280&navigate=yes","31.248640, 35.199280",מחסני השוק ערד
קרפור נווה זאב ב״ש,קרפור – נווה זאב,"https://waze.com/ul?ll=31.239300,34.773840&navigate=yes","31.239300, 34.773840","קרפור נווה זאב, ב""ש"
שוק העיר קריית גת- עבודה פרש סוללות ופזים,שוק העיר – קריית גת / הערת עבודה נוספת,"https://waze.com/ul?ll=31.604380,34.774310&navigate=yes","31.604380, 34.774310","שוק העיר, קריית גת"
פרש מרקט מחסני להב רחוב שהם אשדוד,מחסני להב / פרשמרקט – שוהם,"https://waze.com/ul?ll=31.766695,34.631168&navigate=yes","31.766695, 34.631168","מחסני להב, שוהם אשדוד"
יוחננוף ב״שׁ,יוחננוף – באר שבע,"https://waze.com/ul?ll=31.241510,34.809600&navigate=yes","31.241510, 34.809600","יוחננוף, ב""ש"
יוחננוף רמלה,יוחננוף – רמלה,"https://waze.com/ul?ll=31.937330,34.886180&navigate=yes","31.937330, 34.886180","יוחננוף, רמלה"
סופר בונוס יבנה,סופר בונוס – יבנה,"https://waze.com/ul?ll=31.863087,34.739125&navigate=yes","31.863087, 34.739125","סופר בונוס, יבנה — your coordinates"
מחסני השוק יעלים,מחסני השוק – יעלים,"https://waze.com/ul?ll=31.251100,34.779480&navigate=yes","31.251100, 34.779480","מחסני השוק יעלים, ב""ש"
רמי לוי שדרות,רמי לוי – שדרות,"https://waze.com/ul?ll=31.526502,34.602092&navigate=yes","31.526502, 34.602092","רמי לוי, שדרות"
מחסני הושק יד בנימין,מחסני השוק – יד בנימין,"https://waze.com/ul?ll=31.792720,34.824080&navigate=yes","31.792720, 34.824080",מחסני השוק יד בנימין (dup of row 29)
קרפור צפון ב״ש רחוב אברהם אבינו,"קרפור – באר שבע, שכונה ד׳","https://waze.com/ul?ll=31.270018,34.797222&navigate=yes","31.270018, 34.797222","קרפור סיטי צפון, ב""ש — your coordinates"
קרפור לב אשקלון ,קרפור – לב אשקלון,,,קרפור לב אשקלון — you didn't include this row; left blank (note: row 68 resolved to the Lev-Ashkelon Carrefour)
סיטי מרקט סניף ראשון גדרה,"סיטי מרקט – גדרה, סניף ציונה","https://waze.com/ul?ll=31.804598,34.790889&navigate=yes","31.804598, 34.790889","סיטי מרקט גדרה, ציונה צרפת"
סופר קופיקס אשדוד,סופר קופיקס – אשדוד,"https://waze.com/ul?ll=31.777726,34.636456&navigate=yes","31.777726, 34.636456","רמי לוי, שבט לוי 14 אשדוד — your address"
רמי לוי מול,רמי לוי – מול,"https://waze.com/ul?ll=31.232927,34.797287&navigate=yes","31.232927, 34.797287","רמי לוי מול 7, ב""ש — your link"
קרפור קלוזנר רמלה,קרפור – קלוזנר רמלה,"https://waze.com/ul?ll=31.919071,34.869466&navigate=yes","31.919071, 34.869466","קרפור מרקט, קלאוזנר רמלה"
רמי לוי יבנה,רמי לוי – יבנה,"https://waze.com/ul?ll=31.885700,34.733740&navigate=yes","31.885700, 34.733740","רמי לוי שיווק השקמה, יבנה"
מחסני השוק רד״ק,מחסני השוק – רד״ק,"https://waze.com/ul?ll=31.256575,34.771383&navigate=yes","31.256575, 34.771383","מחסני השוק רד""ק, ב""ש"
קרפור שדרות,קרפור – שדרות,"https://waze.com/ul?ll=31.523700,34.605850&navigate=yes","31.523700, 34.605850","קרפור, שדרות"
מחסני השוק קרית מלאכי,מחסני השוק – קריית מלאכי,"https://waze.com/ul?ll=31.731658,34.753038&navigate=yes","31.731658, 34.753038","מחסני השוק, קריית מלאכי (dup of row 19)"
קרפור סינמה סיטי,קרפור – סינמה סיטי באר שבע,"https://waze.com/ul?ll=31.234304,34.798478&navigate=yes","31.234304, 34.798478","קרפור היפר, סינמה סיטי ב""ש — your link confirms"
רמי לוי אשקלון צפון,רמי לוי – אשקלון צפון,"https://waze.com/ul?ll=31.662130,34.594590&navigate=yes","31.662130, 34.594590","רמי לוי אשקלון צפון (צה""ל) — your link confirms"
סיטי מרקט סניף שני גדרה,"סיטי מרקט – גדרה, סניף צהלה","https://waze.com/ul?ll=31.800019,34.789253&navigate=yes","31.800019, 34.789253","סיטי מרקט 24/7, גדרה (צהלה) — your coordinates"
טסה שוקולד רחוב הציונות אשדוד,"טסה – שדרות הציונות, אשדוד","https://waze.com/ul?ll=31.787595,34.643303&navigate=yes","31.787595, 34.643303","טסה, הציונות אשדוד — your link"
מחסני להב ב״ש,מחסני להב – באר שבע,"https://waze.com/ul?ll=31.250485,34.771336&navigate=yes","31.250485, 34.771336","מחסני להב, שד' טוביהו ב""ש"
רמי לוי לוד,רמי לוי – לוד,"https://waze.com/ul?ll=31.945270,34.892120&navigate=yes","31.945270, 34.892120","רמי לוי שיווק השקמה, לוד"
מחסני השוק יבנה,מחסני השוק – יבנה,"https://waze.com/ul?ll=31.877970,34.736400&navigate=yes","31.877970, 34.736400",מחסני השוק יבנה
מחסני השוק סניף חדש,מחסני השוק – סניף חדש,TODO,,מחסני השוק – סניף חדש — you asked to keep as TODO
יוחננוף מבקיעים אשקלון,יוחננוף – מבקיעים,"https://waze.com/ul?ll=31.701280,34.579940&navigate=yes","31.701280, 34.579940","יוחננוף עיר ימים, אשקלון (מבקיעים) — you confirmed"
יוחננוף גן יבנה,יוחננוף – גן יבנה,"https://waze.com/ul?ll=31.794680,34.705580&navigate=yes","31.794680, 34.705580",יוחננוף גן יבנה
קרפור קניון אביה,קרפור – קניון אביה,"https://waze.com/ul?ll=31.263278,34.778719&navigate=yes","31.263278, 34.778719","קרפור מרקט, קניון אביה ב""ש — you confirmed"
קרפור אשקלון בסיטי קיבוץ גלויות 5,קרפור – אשקלון סיטי,"https://waze.com/ul?ll=31.655189,34.556142&navigate=yes","31.655189, 34.556142","קרפור סיטי, קניון לב אשקלון — mall centroid from your link (store inside)"
שוק העיר רמלה רחוב דני מס,"שוק העיר – רמלה, קניון הרמבלס","https://waze.com/ul?ll=31.929320,34.867530&navigate=yes","31.929320, 34.867530","שוק העיר רמלה, דני מס"
טסה שוקולד רחוב רוגזין אשדוד,"טסה – רוגוזין, אשדוד  (client 1)","https://waze.com/ul?ll=31.803469,34.642244&navigate=yes","31.803469, 34.642244","טסה רוגוזין, אשדוד — client 1 (your '70 both')"
טסה שוקולד רחוב רוגזין אשדוד,"טסה – רוגוזין, אשדוד  (client 2)","https://waze.com/ul?ll=31.806300,34.643792&navigate=yes","31.806300, 34.643792","טסה רוגוזין, אשדוד — client 2 (your '70 both')"
פרש מרקט מחסני להב יבנה,מחסני להב / פרשמרקט – יבנה,"https://waze.com/ul?ll=31.866399,34.735819&navigate=yes","31.866399, 34.735819","מחסני להב / פרשמרקט, יבנה — your coordinates"
מחסני השוק בית אשל,מחסני השוק – בית אשל,"https://waze.com/ul?ll=31.239870,34.793740&navigate=yes","31.239870, 34.793740","מחסני השוק בית אשל, ב""ש"
שוק העיר מכללה אשקלון רחוב אלי כהן,שוק העיר – מכללה אשקלון,"https://waze.com/ul?ll=31.667450,34.569030&navigate=yes","31.667450, 34.569030","שוק העיר אשקלון, אלי כהן (מכללה)"
יוחננוף עקרון,יוחננוף – קריית עקרון,"https://waze.com/ul?ll=31.860190,34.814490&navigate=yes","31.860190, 34.814490",יוחננוף סניף קרית עקרון
מחסני השוק הקריה החרדית,מחסני השוק מהדרין – הקריה החרדית,"https://waze.com/ul?ll=31.267940,34.778430&navigate=yes","31.267940, 34.778430","מחסני השוק קריה חרדית מתחם 10, ב""ש"
קרפור אפרידר שדרות ירושלים,קרפור – אפרידר,"https://waze.com/ul?ll=31.677410,34.575410&navigate=yes","31.677410, 34.575410",קרפור מרקט אשקלון אפרידר
שוק העיר רמלה רחוב יעקב דורי,"שוק העיר – נאות שמיר, רמלה","https://waze.com/ul?ll=31.929080,34.849320&navigate=yes","31.929080, 34.849320","שוק העיר נאות שמיר, רמלה"
קרפור ח אשדוד מרכז כלניות,"קרפור – אשדוד רובע ח׳, מרכז כלניות","https://waze.com/ul?ll=31.783685,34.653253&navigate=yes","31.783685, 34.653253","קרפור מרקט, מרכז כלניות אשדוד"
קרפור ד רוגזין אשדוד,קרפור – אשדוד רובע ד׳,"https://waze.com/ul?ll=31.800290,34.641557&navigate=yes","31.800290, 34.641557","קרפור מרקט, השייטים 9 אשדוד — your address"
